product_id,product_name,jumlah_hari_transaksi,total_unit_terjual,rata2_per_transaksi
TGP002,Tepung Peyek,1,25.0,25.0
YP1001,yupi 1000,1,25.0,25.0
DLC001,Dilan Cookies,1,24.0,24.0
TGP002,tepung peyek,1,24.0,24.0
ADS001,ADEM SARI,1,23.0,23.0
CLB001,Chocolatos Bubuk,1,23.0,23.0
JPT001,JAPOTA,1,22.0,22.0
JS001,Jelly star,1,22.0,22.0
RSB001,RINSO BUBUK,1,22.0,22.0
RIS001,ROTI ISI SELAI,1,21.0,21.0
BLB001,Blue Band,1,20.0,20.0
CKS001,CHOKKY STICK,1,20.0,20.0
GRR001,GORIORIO 1000,1,20.0,20.0
PJR01,Permen jeruk,1,20.0,20.0
PKK001,PERMEN KOPIKO,1,20.0,20.0
RSB001,Rinso Bubuk,1,20.0,20.0
RTP001,roti pia,1,20.0,20.0
STS,SANTAN SASA,1,20.0,20.0
ZC001,ZINC,1,20.0,20.0
ZC001,Zinc,1,20.0,20.0
KRS001,KARA SANTAN,1,19.0,19.0
MRS001,MIE RICIES,1,19.0,19.0
RY001,Roma Kopyor,1,19.0,19.0
GD001,GARUDA DONAT,1,18.0,18.0
KGA001,KOPI GULA AREN,1,18.0,18.0
MS001,MILO SACHET,1,18.0,18.0
TGO001,TANGGO,1,18.0,18.0
DC001,DILAN CREAM,1,17.0,17.0
GL1001,GULA 1kg,1,17.0,17.0
SG2001,SARI GANDUM 2,1,17.0,17.0
SKG001,Sikat gigi,1,17.0,17.0
CHR001,Charm softex,1,16.0,16.0
GS5001,GERY SALUT 500,1,16.0,16.0
TTS001,TINGTING SNACK,1,16.0,16.0
GLK01,Gulaku,1,15.0,15.0
PC001,PROCHIZ LEMBAR,1,15.0,15.0
TGB01,TEPUNG BAKWAN,1,15.0,15.0
GCS001,Gery Croissant,1,14.0,14.0
GPT001,Gery Potato,1,13.0,13.0
TSM01,Tisu mini,1,13.0,13.0
CK001,COKELAT KOIN,1,12.0,12.0
DNW01,DANCOW,1,12.0,12.0
GDL001,GOOD DAY LATTE,1,12.0,12.0
KTN001,KERTAS NASI,1,12.0,12.0
PTB001,POTABE,1,12.0,12.0
RTG001,ROTI GERY,1,12.0,12.0
SNC001,SUNCO 1L,1,12.0,12.0
SS001,Sabun Sayang,1,12.0,12.0
SZ001,Super Zet,1,12.0,12.0
TJ001,Tisu jolly,1,12.0,12.0
TSJ001,TEPUNG SAJIKU,1,12.0,12.0
BLB001,BLUE BAND,1,11.0,11.0
BRT001,Barakat,1,11.0,11.0
DNW01,Dancow,1,11.0,11.0
GSB002,Gery Salut Besar,1,11.0,11.0
MKE02,Mie eko besar,1,11.0,11.0
MP001,mie panda,1,11.0,11.0
MYK001,Minyak Kita,1,11.0,11.0
PDK001,PEPSODENT KECIL,1,11.0,11.0
TGK01,Tepung kriwul,1,11.0,11.0
BRS1,BERAS 1Kg,1,10.0,10.0
CHR001,CHARM SOFTEX,1,10.0,10.0
CLO01,CLEO MINERAL,1,10.0,10.0
DTK001,Detol kecil,1,10.0,10.0
FM001,Fancy mineral,1,10.0,10.0
FP001,Fernipan,1,10.0,10.0
GA001,Garang Asem,1,10.0,10.0
GL003,GULA 1/4,1,10.0,10.0
GSL002,GARUDA SLONDOK,1,10.0,10.0
INS001,Indosari,1,10.0,10.0
KP001,KECAP,1,10.0,10.0
KPH1,Kopi hitam One,1,10.0,10.0
KSK001,K. Singkong,1,10.0,10.0
KSK001,K. singkong,1,10.0,10.0
KSP001,Kispray,1,10.0,10.0
MBK002,MIE BAKED,1,10.0,10.0
RCK001,racik,1,10.0,10.0
SC001,Soklin Cair,1,10.0,10.0
STB001,Scotch brite,1,10.0,10.0
TGV001,TEPUNG VIRGO,1,10.0,10.0
TLC001,toilet cleaner,1,10.0,10.0
TPC001,TOP COFFE,1,10.0,10.0
TPL2,TROPICAL 2LT,1,10.0,10.0
TSY001,Tisu pascoy,1,10.0,10.0
BC001,Bio cair,1,9.0,9.0
KRM01,KURMA 1KG,1,9.0,9.0
NO001,NEO MINERAL,1,9.0,9.0
PT001,petis 1/4,1,9.0,9.0
TM001,Tisu Montis,1,9.0,9.0
TS001,Tisu multi,1,9.0,9.0
ATN01,ANTANGIN,1,8.0,8.0
ATN01,Antangin,1,8.0,8.0
BC001,BIO CAIR,1,8.0,8.0
GA001,GARANG ASEM,1,8.0,8.0
GC001,GARUDA CORN,1,8.0,8.0
KCI001,Kacang Ijo 1/2,1,8.0,8.0
KRK001,Kurma kasem,1,8.0,8.0
KRK001,kurma kasem,1,8.0,8.0
MLG001,madu lumbang,1,8.0,8.0
SCR01,Sabun carsen,1,8.0,8.0
SK2,Sus Kering 200,1,8.0,8.0
SNC2,SUNCO 2L,1,8.0,8.0
